,county,state,county_population,covid_hospital_admissions_per_100k,covid_cases_per_100k,lon,lat
34383,Casey County,Kentucky,16159.0,2.7,6.19,-84.9146294,37.2911032
34384,Bland County,Virginia,6280.0,4.2,143.31,-81.1154109,37.1312101
34385,McDowell County,West Virginia,17624.0,4.2,51.07,-81.6478197,37.3660757
34386,Tazewell County,Virginia,40595.0,4.2,68.97,-81.5684129,37.1236041
34387,Mercer County,West Virginia,58758.0,4.2,79.99,-81.1107194,37.4071873
34388,Buchanan County,Virginia,21004.0,4.2,61.89,-82.0320334,37.2600448
34389,Lycoming County,Pennsylvania,113299.0,3.3,87.38,-77.0220348,41.3472688
34390,Clinton County,Pennsylvania,38632.0,3.3,49.18,-77.6984481,41.2711458
34391,Wayne County,Pennsylvania,51361.0,12.3,144.08,-75.3045103,41.6264414
34392,Lackawanna County,Pennsylvania,209674.0,12.3,189.82,-75.6260271,41.4406084
34393,Knox County,Kentucky,31145.0,4.7,38.53,-83.8545725,36.8934427
34394,Laurel County,Kentucky,60813.0,4.7,23.02,-84.1148273,37.1000973
34395,Whitley County,Kentucky,36264.0,4.7,24.82,-84.1512134,36.7324324
34396,Clay County,Kentucky,19901.0,4.7,5.02,-83.723144,37.1540436
34397,Forest County,Pennsylvania,7247.0,5.2,0.0,-79.2640912,41.5329762
34398,Venango County,Pennsylvania,50668.0,5.2,82.89,-79.7709417,41.3996112
34399,Clarion County,Pennsylvania,38438.0,5.2,57.24,-79.429169,41.1818771
34400,Delaware County,New York,44135.0,7.7,210.72,-75.0016302,42.194917
34401,Schoharie County,New York,30999.0,7.7,274.2,-74.4390277,42.5757217
34402,Chenango County,New York,47207.0,7.7,266.91,-75.6130279,42.4784565
34403,Otsego County,New York,59493.0,7.7,247.09,-75.0142701,42.5984272
34404,Herkimer County,New York,61319.0,14.4,308.22,-74.9481252,43.4911326
34405,Madison County,New York,70941.0,14.4,274.88,-75.6802581,42.875882
34406,Oneida County,New York,228671.0,14.4,442.56,-75.4039155,43.2144051
34407,Washington County,Virginia,53740.0,3.3,89.32,-81.9421666,36.740236
34408,Atlantic County,New Jersey,263670.0,9.6,169.53,-74.6632883,39.5143268
34409,Cape May County,New Jersey,92039.0,9.6,232.51,-74.8012119,39.1765386
34410,Bristol County,Massachusetts,565217.0,6.8,179.58,-71.0856545,41.7425538
34411,Newport County,Rhode Island,82082.0,6.8,349.65,-71.2971352,41.5107263
34412,Alleghany County,North Carolina,11137.0,3.2,26.94,-81.1340843,36.5029951
