"Zip","Total Cases","Deaths"
"62423","157","N/A"
"62424","648","N/A"
"62425","178","N/A"
"62426","280","N/A"
"62427","371","N/A"
"62428","939","N/A"
"62431","306","N/A"
"62432","204","N/A"
"62433","260","N/A"
"62434","91","N/A"
"62436","180","N/A"
"62438","104","N/A"
"62439","2,215","N/A"
"62440","357","N/A"
"62441","2,259","N/A"
"62442","712","N/A"
"62443","454","N/A"
"62444","116","N/A"
"62445","274","N/A"
"62446","117","N/A"
"62447","1,049","N/A"
"62448","1,708","N/A"
"62449","905","N/A"
"62450","4,015","N/A"
"62451","590","N/A"
"62452","122","N/A"
"62454","3,973","N/A"
"62458","796","N/A"
"62459","60","N/A"
"62460","297","N/A"
"62461","269","N/A"
"62462","282","N/A"
"62463","330","N/A"
"62464","21","N/A"
"62465","228","N/A"
"62466","1,941","N/A"
"62467","1,064","N/A"
"62468","792","N/A"
"62469","156","N/A"
"62471","3,570","N/A"
"62473","405","N/A"
"62474","235","N/A"
"62475","72","N/A"
"62476","432","N/A"
"62477","239","N/A"
"62478","106","N/A"
"62479","213","N/A"
"62480","174","N/A"
"62481","86","N/A"
"62501","696","N/A"
"62510","420","N/A"
"62512","119","N/A"
"62513","441","N/A"
"62514","54","N/A"
"62515","264","N/A"
"62517","48","N/A"
"62518","114","N/A"
"62519","23","N/A"
"62520","399","N/A"
"62521","10,242","N/A"
"62522","3,941","N/A"
"62523","235","N/A"
"62524","71","N/A"
"62525","49","N/A"
"62526","9,481","N/A"
"62530","384","N/A"
"62531","465","N/A"
"62532","23","N/A"
"62533","291","N/A"
"62534","308","N/A"
"62535","1,108","N/A"
"62536","260","N/A"
"62537","54","N/A"
"62538","103","N/A"
"62539","363","N/A"
"62540","392","N/A"
"62541","12","N/A"
"62543","128","N/A"
"62544","512","N/A"
"62545","343","N/A"
"62546","432","N/A"
"62547","187","N/A"
"62548","647","N/A"
"62549","2,004","N/A"
"62550","844","N/A"
"62551","214","N/A"
"62553","124","N/A"
"62554","485","N/A"
"62555","125","N/A"
"62556","88","N/A"
"62557","2,147","N/A"
"62558","973","N/A"
"62560","463","N/A"
"62561","1,613","N/A"
"62563","1,857","N/A"
"62565","2,255","N/A"
"62567","303","N/A"
"62568","5,394","N/A"
"62570","110","N/A"
"62571","338","N/A"
"62572","153","N/A"
"62573","419","N/A"
"62601","106","N/A"
"62610","41","N/A"
"62611","281","N/A"
"62612","579","N/A"
"62613","1,144","N/A"
"62615","1,684","N/A"
"62617","195","N/A"
"62618","2,880","N/A"
"62620","14","N/A"
"62621","271","N/A"
"62622","15","N/A"
"62624","115","N/A"
"62625","272","N/A"
"62626","2,584","N/A"
"62627","306","N/A"
"62628","215","N/A"
"62629","4,193","N/A"
"62630","133","N/A"
"62631","77","N/A"
"62633","183","N/A"
"62634","258","N/A"
"62635","223","N/A"
"62638","352","N/A"
"62639","81","N/A"
"62640","919","N/A"
"62642","381","N/A"
"62643","150","N/A"
"62644","1,462","N/A"
"62649","143","N/A"
"62650","7,366","N/A"
"62651","30","N/A"
"62655","120","N/A"
"62656","6,982","N/A"
"62658","15","N/A"
"62661","311","N/A"
"62663","82","N/A"
"62664","862","N/A"
"62665","329","N/A"
"62666","142","N/A"
"62667","126","N/A"
"62668","369","N/A"
"62670","908","N/A"
"62671","134","N/A"
"62672","58","N/A"
"62673","130","N/A"
"62674","305","N/A"
"62675","1,711","N/A"
"62677","726","N/A"
"62681","1,578","N/A"
"62682","257","N/A"
"62684","1,846","N/A"
"62685","490","N/A"
"62688","176","N/A"
"62689","137","N/A"
"62690","1,099","N/A"
"62691","769","N/A"
"62692","546","N/A"
"62693","558","N/A"
"62694","792","N/A"
"62695","126","N/A"
"62701","273","N/A"
"62702","9,507","N/A"
"62703","8,538","N/A"
"62704","10,445","N/A"
"62705","41","N/A"
"62706","12","N/A"
"62707","2,129","N/A"
"62708","73","N/A"
"62711","4,727","N/A"
"62712","2,885","N/A"
"62769","12","N/A"
"62781","11","N/A"
"62791","65","N/A"
"62794","18","N/A"
"62801","6,948","N/A"
"62803","237","N/A"
"62806","916","N/A"
"62807","263","N/A"
"62808","356","N/A"
"62809","83","N/A"
"62810","257","N/A"
"62811","87","N/A"
"62812","3,424","N/A"
"62814","488","N/A"
"62815","99","N/A"
"62816","343","N/A"
"62817","147","N/A"
"62818","78","N/A"
"62819","135","N/A"
"62820","40","N/A"
"62821","2,293","N/A"
"62822","949","N/A"
"62823","602","N/A"
"62824","576","N/A"
"62825","61","N/A"
"62827","307","N/A"
"62828","349","N/A"
"62830","387","N/A"
"62831","121","N/A"
"62832","3,122","N/A"
"62833","83","N/A"
"62835","337","N/A"
"62836","198","N/A"
"62837","3,003","N/A"
"62838","479","N/A"
"62839","2,552","N/A"
"62841","72","N/A"
"62842","233","N/A"
"62843","22","N/A"
"62844","684","N/A"
"62846","998","N/A"
"62848","165","N/A"
"62849","622","N/A"
"62850","80","N/A"
"62851","85","N/A"
"62852","46","N/A"
"62853","245","N/A"
"62854","447","N/A"
"62856","87","N/A"
"62858","978","N/A"
"62859","1,538","N/A"
"62860","147","N/A"
"62861","9","N/A"
"62862","110","N/A"
"62863","3,199","N/A"
"62864","6,965","N/A"
"62865","652","N/A"
"62866","6","N/A"
"62867","138","N/A"
"62868","543","N/A"
"62869","822","N/A"
"62870","729","N/A"
"62871","153","N/A"
"62872","296","N/A"
"62874","120","N/A"
"62875","336","N/A"
"62876","46","N/A"
"62877","112","N/A"
"62878","121","N/A"
"62880","202","N/A"
"62881","3,368","N/A"
"62882","705","N/A"
"62883","156","N/A"
"62884","880","N/A"
"62885","230","N/A"
"62886","91","N/A"
"62887","84","N/A"
"62888","523","N/A"
"62889","195","N/A"
"62890","824","N/A"
"62891","174","N/A"
"62892","98","N/A"
"62893","258","N/A"
"62894","298","N/A"
"62895","540","N/A"
"62896","3,918","N/A"
"62897","115","N/A"
"62898","567","N/A"
"62899","466","N/A"
"62901","6,763","N/A"
"62902","1,133","N/A"
"62903","692","N/A"
"62905","171","N/A"
"62906","2,500","N/A"
"62907","533","N/A"
"62908","139","N/A"
"62910","565","N/A"
"62912","289","N/A"
"62914","441","N/A"
"62915","215","N/A"
"62916","240","N/A"
"62917","821","N/A"
"62918","3,649","N/A"
"62919","230","N/A"
"62920","926","N/A"
"62921","104","N/A"
"62922","855","N/A"
"62923","151","N/A"
"62924","882","N/A"
"62926","570","N/A"
"62927","85","N/A"
"62928","65","N/A"
"62930","1,900","N/A"
"62931","397","N/A"
"62932","565","N/A"
"62933","460","N/A"
"62934","227","N/A"
"62935","668","N/A"
"62938","666","N/A"
"62939","978","N/A"
"62940","104","N/A"
"62941","203","N/A"
"62942","173","N/A"
"62943","169","N/A"
"62946","4,067","N/A"
"62947","107","N/A"
"62948","4,289","N/A"
"62949","240","N/A"
"62950","61","N/A"
"62951","1,752","N/A"
"62952","1,010","N/A"
"62953","83","N/A"
"62954","123","N/A"
"62956","258","N/A"
"62957","173","N/A"
"62958","491","N/A"
"62959","9,348","N/A"
"62960","3,000","N/A"
"62961","8","N/A"
"62963","121","N/A"
"62964","359","N/A"
"62965","31","N/A"
"62966","4,536","N/A"
"62967","117","N/A"
"62969","93","N/A"
"62970","157","N/A"
"62972","370","N/A"
"62974","429","N/A"
"62975","57","N/A"
"62976","112","N/A"
"62977","192","N/A"
"62979","356","N/A"
"62982","400","N/A"
"62983","475","N/A"
"62984","439","N/A"
"62985","254","N/A"
"62987","386","N/A"
"62988","316","N/A"
"62990","251","N/A"
"62992","417","N/A"
"62994","223","N/A"
"62995","2,268","N/A"
"62996","152","N/A"
"62997","134","N/A"
"62998","83","N/A"
"62999","418","N/A"
"91761","21","N/A"
