"Zip","Total Cases","Deaths"
"60475","1,868","N/A"
"60476","511","N/A"
"60477","8,582","N/A"
"60478","3,877","N/A"
"60479","143","N/A"
"60480","1,203","N/A"
"60481","2,551","N/A"
"60482","2,295","N/A"
"60484","1,376","N/A"
"60485","12","N/A"
"60487","6,146","N/A"
"60488","10","N/A"
"60490","4,610","N/A"
"60491","4,794","N/A"
"60499","14","N/A"
"60501","2,668","N/A"
"60502","4,536","N/A"
"60503","3,533","N/A"
"60504","8,919","N/A"
"60505","15,908","N/A"
"60506","14,163","N/A"
"60507","73","N/A"
"60508","8","N/A"
"60510","6,293","N/A"
"60511","370","N/A"
"60512","252","N/A"
"60513","4,327","N/A"
"60514","2,224","N/A"
"60515","6,423","N/A"
"60516","6,235","N/A"
"60517","7,457","N/A"
"60518","796","N/A"
"60519","33","N/A"
"60520","662","N/A"
"60521","3,858","N/A"
"60522","28","N/A"
"60523","2,148","N/A"
"60524","11","N/A"
"60525","7,546","N/A"
"60526","3,037","N/A"
"60527","6,658","N/A"
"60528","11","N/A"
"60530","129","N/A"
"60531","545","N/A"
"60532","5,756","N/A"
"60534","2,528","N/A"
"60535","6","N/A"
"60536","38","N/A"
"60537","130","N/A"
"60538","7,444","N/A"
"60539","88","N/A"
"60540","8,730","N/A"
"60541","736","N/A"
"60542","4,506","N/A"
"60543","9,220","N/A"
"60544","6,446","N/A"
"60545","3,876","N/A"
"60546","3,700","N/A"
"60548","3,048","N/A"
"60549","158","N/A"
"60550","350","N/A"
"60551","1,807","N/A"
"60552","957","N/A"
"60553","140","N/A"
"60554","2,639","N/A"
"60555","3,385","N/A"
"60556","397","N/A"
"60557","16","N/A"
"60558","3,114","N/A"
"60559","5,378","N/A"
"60560","6,654","N/A"
"60561","4,916","N/A"
"60562","6","N/A"
"60563","8,141","N/A"
"60564","9,165","N/A"
"60565","7,871","N/A"
"60566","20","N/A"
"60567","50","N/A"
"60569","7","N/A"
"60585","5,799","N/A"
"60586","12,234","N/A"
"60598","30","N/A"
"60601","4,364","N/A"
"60602","369","N/A"
"60603","291","N/A"
"60604","377","N/A"
"60605","5,354","N/A"
"60606","904","N/A"
"60607","6,723","N/A"
"60608","15,873","N/A"
"60609","13,416","N/A"
"60610","8,489","N/A"
"60611","6,277","N/A"
"60612","7,950","N/A"
"60613","10,132","N/A"
"60614","14,670","N/A"
"60615","6,812","N/A"
"60616","8,758","N/A"
"60617","15,539","N/A"
"60618","19,174","N/A"
"60619","11,048","N/A"
"60620","12,343","N/A"
"60621","5,452","N/A"
"60622","11,989","N/A"
"60623","19,542","N/A"
"60624","7,258","N/A"
"60625","16,325","N/A"
"60626","9,570","N/A"
"60627","22","N/A"
"60628","12,474","N/A"
"60629","28,318","N/A"
"60630","12,458","N/A"
"60631","7,324","N/A"
"60632","21,356","N/A"
"60633","3,475","N/A"
"60634","19,881","N/A"
"60635","24","N/A"
"60636","6,806","N/A"
"60637","9,437","N/A"
"60638","14,957","N/A"
"60639","24,678","N/A"
"60640","12,127","N/A"
"60641","17,239","N/A"
"60642","4,564","N/A"
"60643","10,041","N/A"
"60644","9,607","N/A"
"60645","10,248","N/A"
"60646","6,447","N/A"
"60647","18,608","N/A"
"60648","7","N/A"
"60649","8,015","N/A"
"60650","38","N/A"
"60651","14,399","N/A"
"60652","10,356","N/A"
"60653","6,501","N/A"
"60654","4,701","N/A"
"60655","7,091","N/A"
"60656","6,641","N/A"
"60657","14,794","N/A"
"60659","8,705","N/A"
"60660","7,194","N/A"
"60661","2,333","N/A"
"60663","10","N/A"
"60664","14","N/A"
"60666","14","N/A"
"60673","7","N/A"
"60678","8","N/A"
"60680","122","N/A"
"60690","47","N/A"
"60699","9","N/A"
"60706","6,354","N/A"
"60707","10,897","N/A"
"60712","4,822","N/A"
"60713","6","N/A"
"60714","8,240","N/A"
"60803","4,805","N/A"
"60804","21,344","N/A"
"60805","4,792","N/A"
"60806","8","N/A"
"60827","4,857","N/A"
"60901","10,059","N/A"
"60910","101","N/A"
"60911","336","N/A"
"60912","86","N/A"
"60913","351","N/A"
"60914","7,832","N/A"
"60915","2,845","N/A"
"60917","112","N/A"
"60918","232","N/A"
"60919","132","N/A"
"60920","31","N/A"
"60921","417","N/A"
"60922","537","N/A"
"60924","466","N/A"
"60926","10","N/A"
"60927","554","N/A"
"60928","163","N/A"
"60929","162","N/A"
"60930","282","N/A"
"60931","135","N/A"
"60932","38","N/A"
"60933","76","N/A"
"60934","87","N/A"
"60935","271","N/A"
"60936","1,390","N/A"
"60938","612","N/A"
"60939","13","N/A"
"60940","674","N/A"
"60941","521","N/A"
"60942","2,296","N/A"
"60944","23","N/A"
"60945","31","N/A"
"60946","103","N/A"
"60948","423","N/A"
"60949","174","N/A"
"60950","2,901","N/A"
"60951","158","N/A"
"60952","214","N/A"
"60953","603","N/A"
"60954","1,469","N/A"
"60955","571","N/A"
"60956","34","N/A"
"60957","1,875","N/A"
"60958","380","N/A"
"60959","305","N/A"
"60960","272","N/A"
"60961","147","N/A"
"60962","141","N/A"
"60963","646","N/A"
"60964","1,121","N/A"
"60966","306","N/A"
"60967","21","N/A"
"60968","102","N/A"
"60969","19","N/A"
"60970","1,635","N/A"
"60973","152","N/A"
